"","Mmus_C57-6T_LVR_BSL_Rep1_B1","Mmus_C57-6T_LVR_BSL_Rep2_B2","Mmus_C57-6T_LVR_BSL_Rep3_B3","Mmus_C57-6T_LVR_GC_Rep1_G2","Mmus_C57-6T_LVR_GC_Rep2_G3","Mmus_C57-6T_LVR_GC_Rep3_G5","Mmus_C57-6T_LVR_FLT_Rep1_F1","Mmus_C57-6T_LVR_FLT_Rep2_F2","Mmus_C57-6T_LVR_FLT_Rep3_F4"
"ENSMUSG00000000001",1983,2708,2532,2720,2463,3174,2505,2740,3207
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028",31,38,42,50,52,54,43,39,36
"ENSMUSG00000000031",35,37,48,26,28,32,40,16,26
"ENSMUSG00000000037",0,0,1,0,0,1,4,0,1
"ENSMUSG00000000049",55409,56823,54332,57744,58097,48904,46545,51808,58948
"ENSMUSG00000000056",1302,1373,1029,1575,1474,1358,1553,1954,2367
"ENSMUSG00000000058",115,112,124,98,119,126,112,86,113
"ENSMUSG00000000078",371,444,273,363,416,593,421,261,379
"ENSMUSG00000000085",244,314,257,305,301,370,359,283,340
"ENSMUSG00000000088",3342,2919.6,3284,2882,3015,2712,2400,3426,3736
"ENSMUSG00000000093",266,241,216,325,306,265,249,240,328
"ENSMUSG00000000094",3,0,4,0,0,4,0,2,4
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120",114,273,108,126,137,318,219,126,147
"ENSMUSG00000000125",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000126",19,28,20,18,38,15,19,8,12
"ENSMUSG00000000127",128,202,186,274,197,297,247,213,276
"ENSMUSG00000000131",1094,1144,1062,1417,1323,1560,1266,1300,1392
"ENSMUSG00000000134",641,784,789,675,706,958,770,645,770
"ENSMUSG00000000142",523,426,314,219,302,244,471,141,179
"ENSMUSG00000000148",303,326,256,340,336,393,334,335,364
"ENSMUSG00000000149",2378,2915,3263,2789,3695,2423,3669,3155,3511
"ENSMUSG00000000154",1909,2026,2137,2530,2470,2207,2219,2523,2624
"ENSMUSG00000000157",0,2,0,2,0,1,0,1,0
"ENSMUSG00000000159",374.15,529.84,627.23,537,581,508,525,513,538
"ENSMUSG00000000167",6,16,16,12,5,9,11,5,6
"ENSMUSG00000000168",1328,1453,1364,1545,1436,1972,1548,1645,1860
"ENSMUSG00000000171",4625,4612,4880,4660,5144,3764,3788,4579,4829
"ENSMUSG00000000182",0,2,0,0,0,3,0,0,0
"ENSMUSG00000000183",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000184",463,595,537,393,602,787,627,335,429
"ENSMUSG00000000194",663,716,665,587,724,724,609,528,638
"ENSMUSG00000000197",2,0,0,3,0,0,0,1,1
"ENSMUSG00000000202",1,0,0,0,0,0,0,0,0
"ENSMUSG00000000204",13.85,26.79,36.2,20.73,28.57,46.9,45.07,1.4,18.04
"ENSMUSG00000000214",1,0,0,0,0,0,0,1,0
"ENSMUSG00000000215",0,0,0,0,0,0,1,0,0
"ENSMUSG00000000216",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000223",0,2,0,2,0,5,0,0,0
"ENSMUSG00000000244",31,70,26,42,59,98,35,22,43
